id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety,weight_kg,weight_class
2490-P,86,2023.4259032346308,LASCQ,Los Angeles,California,China,National Pumpkin Festival,1450 H,1848 S,479,2002,-1,Munchkin,917.8098023000026,heavy
2648-P,13,1982.0599204767493,GTAFP,Paris,Texas,UK,Regional Pumpkin Festival,1580 R,1279 D,456,1811,7,Golden Hubbard,899.0465234488896,heavy
2329-P,86,1901.1127973124385,BVKFK,Houston,Florida,USA,Local Pumpkin Festival,1494 O,1496 D,444,1748,6,Kakai,862.3295559585436,heavy
2367-P,14,1879.817455921322,QJVTR,Houston,New York,China,National Pumpkin Festival,1040 X,1531 A,435,1666,13,Kakai,852.6701594662643,heavy
2459-P,40,1808.95201832708,DWGQC,Chicago,Florida,USA,National Pumpkin Festival,1607 N,1047 L,428,1610,15,Orange Bulldog,820.5261638970169,heavy
2422-P,96,1781.0862760925663,LRGOJ,Los Angeles,New York,China,National Pumpkin Festival,1467 H,1522 C,418,1541,20,Kakai,807.8864861453793,heavy
2343-P,51,1752.0241724057123,CRJKF,Paris,Florida,China,National Pumpkin Festival,1046 W,1375 V,417,1519,20,Golden Hubbard,794.7041484098519,heavy
2937-P,17,1691.2088416919112,GELJH,Nottingham,California,USA,National Pumpkin Festival,1521 M,1381 Z,439,1668,-2,Orange Bulldog,767.1188009207174,heavy
2454-P,36,1689.6141931340098,SOLME,Nottingham,California,USA,Local Pumpkin Festival,1340 X,1167 L,424,1569,9,Orange Bulldog,766.3954810920418,heavy
2535-P,75,1662.306388654746,UNOMK,Houston,California,USA,National Pumpkin Festival,1211 O,1500 E,415,1504,11,Orange Bulldog,754.0088794426835,heavy
2350-P,20,1630.8583336854354,IOFHG,Los Angeles,New York,China,Local Pumpkin Festival,1381 E,1382 V,408,1427,11,Golden Hubbard,739.7442932930439,heavy
2774-P,31,1585.0508901029823,JTCJS,Paris,Florida,USA,Regional Pumpkin Festival,1742 Y,1492 L,412,1440,4,Golden Hubbard,718.966403343592,heavy
2337-P,38,1550.5131176477298,GDIJO,Houston,California,China,National Pumpkin Festival,1585 O,1754 U,409,1384,11,Kakai,703.300346060069,heavy
2284-P,54,1547.512337406166,PXRBL,New York,New York,China,National Pumpkin Festival,1097 S,1198 G,427,1610,-9,Golden Hubbard,701.9392161487376,heavy
2888-P,50,1549.6025806907564,NZIOP,Paris,New York,USA,Local Pumpkin Festival,1093 Z,1010 C,414,1446,7,Kakai,702.8873337806816,heavy
2049-P,12,1527.756595134549,ATSZJ,Houston,Florida,China,Regional Pumpkin Festival,1599 V,1378 I,405,1434,8,Munchkin,692.9781695002703,heavy
2889-P,54,1538.1607134230435,TCWNX,Paris,Texas,China,Regional Pumpkin Festival,1372 N,1857 J,419,1484,-2,Munchkin,697.6973943229851,heavy
